 1967 5:29:33 PM,-6403.41,1566.06,-1.35
 1967 5:29:57 PM,4471.79,-4769.74,-1.24
 1967 5:34:27 PM,-1647.62,-4545.61,4350.67
 1967 5:43:49 PM,3267.71,-5740.92,-0.96
 1967 6:06:33 PM,-4624.57,-4671.8,-0.86
 1967 6:09:59 AM,492.76,6540.27,-0.42
 1967 6:37:09 PM,-3470.66,5534.67,-0.79
 1967 6:39:34 AM,-5820.61,160.19,-3027.84
 1967 6:49:01 PM,3927.66,-5277.4,-0.76
 1967 6:50:09 PM,2725.06,-5994.42,-0.43
 1967 7:04:56 AM,-236.8,-6570.51,-4.16
 1967 7:09:02 PM,-6179.34,2563.62,-1.29
 1967 7:58:39 PM,5427.29,3918.36,-1.22
 1967 8:04:48 AM,64.23,-6570.42,-0.33
 1967 8:19:45 AM,1718.11,-6372.33,-1.26
 1967 8:24:59 PM,-6290.11,-1930.08,-0.77
 1967 8:33:43 PM,-2758.92,-6051.41,-0.78
 1967 8:38:59 AM,5048.21,-4228.28,-1.13
 1967 9:10:58 AM,-5228.34,-4073.93,-1.39
 1967 9:33:07 AM,5878.41,-3116.01,-1.37
 1967 9:54:24 AM,6534.98,-1192.21,-1.28
 1968 1:05:22 AM,-2997.99,5880.48,-0.85
 1968 1:24:56 AM,2787.45,5977.55,-1.26
 1968 1:27:11 AM,1064.5,-6421.42,-1.39
 1968 1:39:09 AM,-3560.4,-5640.35,-1.22
 1968 1:53:05 AM,5482.97,-3652.81,-1.13
 1968 10:06:48 PM,5228.77,4032.31,-0.85
 1968 10:14:51 AM,1272.98,6486.26,-0.96
 1968 10:37:16 PM,-4991.84,-4313.53,-1.14
 1968 10:37:28 PM,5262.3,-3910.02,-1.36
 1968 10:42:47 AM,4962.14,4364.54,-0.85
 1968 10:44:31 AM,2716.99,-5952.03,-1.41
 1968 10:48:45 AM,-35.47,11363.26,6.91
 1968 10:53:40 AM,-3790.03,5344.69,-1.35
 1968 10:58:03 AM,4276.84,4964.84,-0.77
 1968 10:58:04 PM,6550.71,947.39,-1.37
 1968 11:05:02 AM,3183.87,5768.14,-0.86
 1968 11:13:41 PM,-6530.31,529.17,-1.35
 1968 11:17:18 PM,2104.74,6193,-1.26
 1968 11:20:29 AM,-1597.71,6345.17,-0.77
 1968 11:33:53 PM,-74.24,6544.34,-1.22
 1968 11:48:54 PM,5939.59,-2797.12,-4.1
 1968 12:00:00 AM,-102370.58,47921.42,-3622.8
 1968 12:00:00 AM,-106025.94,17838.75,15934.08
 1968 12:08:41 AM,-6324.89,1758.91,0.09
 1968 12:52:07 PM,-1387.63,6360.02,-1.36
 1968 12:54:58 AM,6107.95,-2531.13,-0.86
 1968 2:00:48 PM,-5703.15,-3219.97,-0.41
 1968 2:09:52 AM,2328.09,6459.39,0.13
 1968 2:10:09 AM,-72.11,6597.56,-1.14
 1968 2:14:59 PM,6520.93,-817.76,-0.85
 1968 2:51:20 AM,6380.84,-1610.35,-0.84
 1968 3:04:04 AM,-4342.86,4950.05,-1.24
 1968 3:07:05 AM,-380.17,-6594.4,-1.12
 1968 3:07:50 AM,6595.14,21.13,-0.34
 1968 3:13:31 AM,-6526.92,148.17,-0.38
 1968 3:33:50 AM,-6569.54,-1293.02,-1.36
 1968 3:46:54 PM,67076.98,-67194.38,-7622.19
 1968 3:48:45 PM,-5676.37,3270.18,-1.15
 1968 3:54:38 PM,4379.06,4881.32,-1.37
